  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
 89 ,  57 ,  La ,  -69221.2    , 145.9256888
 88 ,  58 ,  Ce ,  -75626      , 145.918812
 87 ,  59 ,  Pr ,  -76670      , 145.917690
 86 ,  60 ,  Nd ,  -80925.9    , 145.9131224
 85 ,  61 ,  Pm ,  -79454      , 145.914702
 84 ,  62 ,  Sm ,  -80996      , 145.913047
 83 ,  63 ,  Eu ,  -77118      , 145.917211
 82 ,  64 ,  Gd ,  -76086      , 145.918319
 81 ,  65 ,  Tb ,  -67760      , 145.927250
 80 ,  66 ,  Dy ,  -62555      , 145.932845
 79 ,  67 ,  Ho ,  -51238      , 145.944994
 78 ,  68 ,  Er ,  -44322      , 145.952418
 92 ,  55 ,  Cs ,  -51920      , 146.944262
 91 ,  56 ,  Ba ,  -60264      , 146.935304
 90 ,  57 ,  La ,  -66678      , 146.928418
 89 ,  58 ,  Ce ,  -72014      , 146.922690
 88 ,  59 ,  Pr ,  -75444      , 146.919007
 87 ,  60 ,  Nd ,  -78146.8    , 146.9161064
 86 ,  61 ,  Pm ,  -79042.0    , 146.9151444
 85 ,  62 ,  Sm ,  -79266.0    , 146.9149044
 84 ,  63 ,  Eu ,  -77544.6    , 146.9167528
 83 ,  64 ,  Gd ,  -75356.9    , 146.9191010
 82 ,  65 ,  Tb ,  -70743      , 146.924055
 81 ,  66 ,  Dy ,  -64196      , 146.931083
 80 ,  67 ,  Ho ,  -55757      , 146.940142
 79 ,  68 ,  Er ,  -46610      , 146.949960
 78 ,  69 ,  Tm ,  -35974      , 146.961380
 93 ,  55 ,  Cs ,  -46911      , 147.949639
 92 ,  56 ,  Ba ,  -57544.9    , 147.9382236
 91 ,  57 ,  La ,  -62709      , 147.932679
 90 ,  58 ,  Ce ,  -70398      , 147.924424
 89 ,  59 ,  Pr ,  -72535      , 147.922130
 88 ,  60 ,  Nd ,  -77408.1    , 147.9168992
 87 ,  61 ,  Pm ,  -76866      , 147.917481
 86 ,  62 ,  Sm ,  -79336.1    , 147.9148293
 85 ,  63 ,  Eu ,  -76297      , 147.918091
 84 ,  64 ,  Gd ,  -76269.4    , 147.9181216
 83 ,  65 ,  Tb ,  -70537      , 147.924275
 82 ,  66 ,  Dy ,  -67859      , 147.927150
 81 ,  67 ,  Ho ,  -57990      , 147.937740
 80 ,  68 ,  Er ,  -51479      , 147.944735
 79 ,  69 ,  Tm ,  -38765      , 147.958384
 93 ,  56 ,  Ba ,  -52830.6    , 148.9432847
 92 ,  57 ,  La ,  -60220      , 148.935350
 91 ,  58 ,  Ce ,  -66670      , 148.928427
 90 ,  59 ,  Pr ,  -71039      , 148.923736
 89 ,  60 ,  Nd ,  -74375.5    , 148.9201542
 88 ,  61 ,  Pm ,  -76064.4    , 148.9183413
 87 ,  62 ,  Sm ,  -77135.9    , 148.9171912
 86 ,  63 ,  Eu ,  -76441      , 148.917937
 85 ,  64 ,  Gd ,  -75127      , 148.919348
 84 ,  65 ,  Tb ,  -71489      , 148.923254
 83 ,  66 ,  Dy ,  -67694      , 148.927328
 82 ,  67 ,  Ho ,  -61646      , 148.933820
 81 ,  68 ,  Er ,  -53742      , 148.942310
 94 ,  56 ,  Ba ,  -49890      , 149.946441
 93 ,  57 ,  La ,  -56311.1    , 149.9395477
 92 ,  58 ,  Ce ,  -64847      , 149.930384
 91 ,  59 ,  Pr ,  -68301      , 149.926676
 90 ,  60 ,  Nd ,  -73680.0    , 149.9209012
 89 ,  61 ,  Pm ,  -73597      , 149.920990
 88 ,  62 ,  Sm ,  -77051.3    , 149.9172822
 87 ,  63 ,  Eu ,  -74792      , 149.919707
 86 ,  64 ,  Gd ,  -75764      , 149.918664
 85 ,  65 ,  Tb ,  -71106      , 149.923665
 84 ,  66 ,  Dy ,  -69310      , 149.925593
 83 ,  67 ,  Ho ,  -61946      , 149.933498
 82 ,  68 ,  Er ,  -57831      , 149.937916
 94 ,  57 ,  La ,  -53310      , 150.942770
 93 ,  58 ,  Ce ,  -61225      , 150.934272
 92 ,  59 ,  Pr ,  -66780      , 150.928309
 91 ,  60 ,  Nd ,  -70943.2    , 150.9238392
 90 ,  61 ,  Pm ,  -73386      , 150.921217
 89 ,  62 ,  Sm ,  -74576.5    , 150.9199382
 88 ,  63 ,  Eu ,  -74653.1    , 150.9198563
 87 ,  64 ,  Gd ,  -74188.9    , 150.920355
 86 ,  65 ,  Tb ,  -71624      , 150.923109
 85 ,  66 ,  Dy ,  -68752      , 150.926191
 84 ,  67 ,  Ho ,  -63623      , 150.931698
 83 ,  68 ,  Er ,  -58266      , 150.937449
 82 ,  69 ,  Tm ,  -50772      , 150.945494
 81 ,  70 ,  Yb ,  -41540      , 150.955400
 93 ,  59 ,  Pr ,  -63758      , 151.931553
 92 ,  60 ,  Nd ,  -70150      , 151.924691
 91 ,  61 ,  Pm ,  -71254      , 151.923505
 90 ,  62 ,  Sm ,  -74763.0    , 151.9197381
 89 ,  63 ,  Eu ,  -72888.5    , 151.9217513
 88 ,  64 ,  Gd ,  -74707.3    , 151.9197981
 87 ,  65 ,  Tb ,  -70720      , 151.924080
 86 ,  66 ,  Dy ,  -70118      , 151.924725
 85 ,  67 ,  Ho ,  -63605      , 151.931718
 84 ,  68 ,  Er ,  -60500      , 151.935050
 83 ,  69 ,  Tm ,  -51720      , 151.944480
 82 ,  70 ,  Yb ,  -46270      , 151.950330
 94 ,  59 ,  Pr ,  -61568      , 152.933904
 93 ,  60 ,  Nd ,  -67330.4    , 152.9277179
 92 ,  61 ,  Pm ,  -70648      , 152.924156
 91 ,  62 ,  Sm ,  -72560.1    , 152.9221031
 90 ,  63 ,  Eu ,  -73367.5    , 152.9212363
 89 ,  64 ,  Gd ,  -72882.9    , 152.9217561
 88 ,  65 ,  Tb ,  -71314      , 152.923442
 87 ,  66 ,  Dy ,  -69143      , 152.925772
 86 ,  67 ,  Ho ,  -65012      , 152.930207
 85 ,  68 ,  Er ,  -60467      , 152.935086
 84 ,  69 ,  Tm ,  -53973      , 152.942058
 82 ,  71 ,  Lu ,  -38380      , 152.958800
 95 ,  59 ,  Pr ,  -57860      , 153.937890
 94 ,  60 ,  Nd ,  -65579.6    , 153.9295971
 93 ,  61 ,  Pm ,  -68267      , 153.926713
 92 ,  62 ,  Sm ,  -72455.6    , 153.9222154
 91 ,  63 ,  Eu ,  -71738.4    , 153.9229853
 90 ,  64 ,  Gd ,  -73706.4    , 153.9208731
 89 ,  65 ,  Tb ,  -70160      , 153.924680
 88 ,  66 ,  Dy ,  -70394      , 153.924429
 87 ,  67 ,  Ho ,  -64639      , 153.930607
 86 ,  68 ,  Er ,  -62605      , 153.932791
 85 ,  69 ,  Tm ,  -54427      , 153.941570
 84 ,  70 ,  Yb ,  -49932      , 153.946396
 96 ,  59 ,  Pr ,  -55415      , 154.940509
 95 ,  60 ,  Nd ,  -62284      , 154.933136
 94 ,  61 ,  Pm ,  -66940      , 154.928137
 93 ,  62 ,  Sm ,  -70191.2    , 154.9246464
 92 ,  63 ,  Eu ,  -71818.3    , 154.9228993
 91 ,  64 ,  Gd ,  -72070.3    , 154.9226291
 90 ,  65 ,  Tb ,  -71250      , 154.923510
 89 ,  66 ,  Dy ,  -69156      , 154.925758
 88 ,  67 ,  Ho ,  -66040      , 154.929103
 87 ,  68 ,  Er ,  -62209      , 154.933216
 86 ,  69 ,  Tm ,  -56626      , 154.939210
 85 ,  70 ,  Yb ,  -50503      , 154.945783
 84 ,  71 ,  Lu ,  -42545      , 154.954326
 97 ,  59 ,  Pr ,  -51449.3    , 155.9447661
 96 ,  60 ,  Nd ,  -60202.1    , 155.9353704
 95 ,  61 ,  Pm ,  -64166.8    , 155.9311143
 94 ,  62 ,  Sm ,  -69361      , 155.925538
 93 ,  63 ,  Eu ,  -70083      , 155.924763
 92 ,  64 ,  Gd ,  -72535.3    , 155.9221301
 91 ,  65 ,  Tb ,  -70091      , 155.924754
 90 ,  66 ,  Dy ,  -70529.4    , 155.9242831
 89 ,  67 ,  Ho ,  -65540      , 155.929640
 88 ,  68 ,  Er ,  -64212      , 155.931066
 87 ,  69 ,  Tm ,  -56834      , 155.938986
 86 ,  70 ,  Yb ,  -53266      , 155.942817
 85 ,  71 ,  Lu ,  -43700      , 155.953090
 84 ,  72 ,  Hf ,  -37820      , 155.959400
 98 ,  59 ,  Pr ,  -48435      , 156.948003
 97 ,  60 ,  Nd ,  -56494.1    , 156.9393513
 96 ,  61 ,  Pm ,  -62297      , 156.933121
 95 ,  62 ,  Sm ,  -66678      , 156.928419
 94 ,  63 ,  Eu ,  -69459      , 156.925433
 93 ,  64 ,  Gd ,  -70823.9    , 156.9239670
 92 ,  65 ,  Tb ,  -70763.8    , 156.9240311
 91 ,  66 ,  Dy ,  -69425      , 156.925470
 90 ,  67 ,  Ho ,  -66833      , 156.928252
 89 ,  68 ,  Er ,  -63414      , 156.931923
 88 ,  69 ,  Tm ,  -58709      , 156.936970
 87 ,  70 ,  Yb ,  -53420      , 156.942651
 86 ,  71 ,  Lu ,  -46440      , 156.950145
 84 ,  73 ,  Ta ,  -29600      , 156.968230
 98 ,  60 ,  Nd ,  -53835.1    , 157.9422054
 97 ,  61 ,  Pm ,  -59106.1    , 157.9365460
 96 ,  62 ,  Sm ,  -65252      , 157.929949
 95 ,  63 ,  Eu ,  -67270.5    , 157.9277822
 94 ,  64 ,  Gd ,  -70690.0    , 157.9241110
 93 ,  65 ,  Tb ,  -69470.9    , 157.9254194
 92 ,  66 ,  Dy ,  -70407.2    , 157.9244145
 91 ,  67 ,  Ho ,  -66187      , 157.928945
 90 ,  68 ,  Er ,  -65304      , 157.929893
 89 ,  69 ,  Tm ,  -58703      , 157.936980
 88 ,  70 ,  Yb ,  -56010      , 157.939871
 87 ,  71 ,  Lu ,  -47212      , 157.949316
 86 ,  72 ,  Hf ,  -42102      , 157.954801
 99 ,  60 ,  Nd ,  -49724      , 158.946620
 98 ,  61 ,  Pm ,  -56554      , 158.939286
 97 ,  62 ,  Sm ,  -62208      , 158.933217
 96 ,  63 ,  Eu ,  -66043      , 158.929100
 95 ,  64 ,  Gd ,  -68561.9    , 158.9263951
 94 ,  65 ,  Tb ,  -69532.6    , 158.9253532
 93 ,  66 ,  Dy ,  -69167.2    , 158.9257455
 92 ,  67 ,  Ho ,  -67330      , 158.927719
 91 ,  68 ,  Er ,  -64561      , 158.930691
 90 ,  69 ,  Tm ,  -60570      , 158.934980
 89 ,  70 ,  Yb ,  -55834      , 158.940060
 88 ,  71 ,  Lu ,  -49710      , 158.946640
 87 ,  72 ,  Hf ,  -42853      , 158.953996
 86 ,  73 ,  Ta ,  -34439      , 158.963028
100 ,  60 ,  Nd ,  -46720      , 159.949840
 99 ,  61 ,  Pm ,  -52894.6    , 159.9432152
 98 ,  62 ,  Sm ,  -60233.2    , 159.9353371
 97 ,  63 ,  Eu ,  -63493.4    , 159.9318370
 96 ,  64 ,  Gd ,  -67942.1    , 159.9270612
 95 ,  65 ,  Tb ,  -67836.5    , 159.9271742
 94 ,  66 ,  Dy ,  -69672.4    , 159.9252038
 93 ,  67 ,  Ho ,  -66382      , 159.928736
 92 ,  68 ,  Er ,  -66064      , 159.929077
 91 ,  69 ,  Tm ,  -60300      , 159.935260
 90 ,  70 ,  Yb ,  -58163      , 159.937559
 89 ,  71 ,  Lu ,  -50270      , 159.946030
 88 ,  72 ,  Hf ,  -45939      , 159.950683
 87 ,  73 ,  Ta ,  -35820      , 159.961540
 86 ,  74 ,  W  ,  -29330      , 159.968510
100 ,  61 ,  Pm ,  -50087      , 160.946230
 99 ,  62 ,  Sm ,  -56672      , 160.939160
 98 ,  63 ,  Eu ,  -61792      , 160.933664
 97 ,  64 ,  Gd ,  -65506.1    , 160.9296766
 96 ,  65 ,  Tb ,  -67461.8    , 160.9275763
 95 ,  66 ,  Dy ,  -68055.5    , 160.9269397
 94 ,  67 ,  Ho ,  -67196.3    , 160.9278613
 93 ,  68 ,  Er ,  -65201      , 160.930004
 92 ,  69 ,  Tm ,  -61899      , 160.933550
 91 ,  70 ,  Yb ,  -57834      , 160.937912
 90 ,  71 ,  Lu ,  -52562      , 160.943570
 89 ,  72 ,  Hf ,  -46316      , 160.950278
 88 ,  73 ,  Ta ,  -38779      , 160.958369
 86 ,  75 ,  Re ,  -20840      , 160.977620
100 ,  62 ,  Sm ,  -54379      , 161.941622
 99 ,  63 ,  Eu ,  -58722.9    , 161.9369584
 98 ,  64 ,  Gd ,  -64281      , 161.930992
 97 ,  65 ,  Tb ,  -65879.5    , 161.9292752
 96 ,  66 ,  Dy ,  -68181.2    , 161.9268047
 95 ,  67 ,  Ho ,  -66041      , 161.929103
 94 ,  68 ,  Er ,  -66334.2    , 161.9287878
 93 ,  69 ,  Tm ,  -61477      , 161.934001
 92 ,  70 ,  Yb ,  -59821      , 161.935779
 91 ,  71 ,  Lu ,  -52830      , 161.943280
 90 ,  72 ,  Hf ,  -49168      , 161.947216
 89 ,  73 ,  Ta ,  -39780      , 161.957290
 88 ,  74 ,  W  ,  -33999      , 161.963500
101 ,  62 ,  Sm ,  -50600      , 162.945679
100 ,  63 ,  Eu ,  -56573.8    , 162.9392650
 99 ,  64 ,  Gd ,  -61388.6    , 162.9340969
 98 ,  65 ,  Tb ,  -64596      , 162.930654
 97 ,  66 ,  Dy ,  -66380.9    , 162.9287377
 96 ,  67 ,  Ho ,  -66378.0    , 162.9287407
 95 ,  68 ,  Er ,  -65167      , 162.930040
 94 ,  69 ,  Tm ,  -62728      , 162.932658
 93 ,  70 ,  Yb ,  -59294      , 162.936345
 92 ,  71 ,  Lu ,  -54791      , 162.941180
 91 ,  72 ,  Hf ,  -49269      , 162.947107
 90 ,  73 ,  Ta ,  -42530      , 162.954340
 89 ,  74 ,  W  ,  -34910      , 162.962520
 88 ,  75 ,  Re ,  -26002      , 162.972085
102 ,  62 ,  Sm ,  -47925      , 163.948550
101 ,  63 ,  Eu ,  -53232.1    , 163.9428522
100 ,  64 ,  Gd ,  -59693.7    , 163.9359161
 99 ,  65 ,  Tb ,  -62105.0    , 163.9333270
 98 ,  66 ,  Dy ,  -65967.6    , 163.9291807
 97 ,  67 ,  Ho ,  -64980.5    , 163.9302405
 96 ,  68 ,  Er ,  -65942.6    , 163.9292078
 95 ,  69 ,  Tm ,  -61909      , 163.933538
 94 ,  70 ,  Yb ,  -61012      , 163.934501
 93 ,  71 ,  Lu ,  -54642      , 163.941340
 92 ,  72 ,  Hf ,  -51818      , 163.944371
 91 ,  73 ,  Ta ,  -43283      , 163.953530
 90 ,  74 ,  W  ,  -38236      , 163.958952
 89 ,  75 ,  Re ,  -27470      , 163.970510
 88 ,  76 ,  Os ,  -20420      , 163.978070
102 ,  63 ,  Eu ,  -50729      , 164.945540
101 ,  64 ,  Gd ,  -56525.8    , 164.9393174
100 ,  65 ,  Tb ,  -60588.8    , 164.9349557
 99 ,  66 ,  Dy ,  -63612.3    , 164.9317097
 98 ,  67 ,  Ho ,  -64898.0    , 164.9303298
 97 ,  68 ,  Er ,  -64521.4    , 164.9307330
 96 ,  69 ,  Tm ,  -62930.0    , 164.9324418
 95 ,  70 ,  Yb ,  -60295      , 164.935270
 94 ,  71 ,  Lu ,  -56442      , 164.939407
 93 ,  72 ,  Hf ,  -51636      , 164.944570
 92 ,  73 ,  Ta ,  -45848      , 164.950780
 91 ,  74 ,  W  ,  -38861      , 164.958281
 90 ,  75 ,  Re ,  -30659      , 164.967086
102 ,  64 ,  Gd ,  -54370.9    , 165.9416307
101 ,  65 ,  Tb ,  -57808.8    , 165.9379396
100 ,  66 ,  Dy ,  -62584.5    , 165.9328129
 99 ,  67 ,  Ho ,  -63070.3    , 165.9322918
 98 ,  68 ,  Er ,  -64924.1    , 165.9303014
 97 ,  69 ,  Tm ,  -61886      , 165.933562
 96 ,  70 ,  Yb ,  -61594      , 165.933876
 95 ,  71 ,  Lu ,  -56021      , 165.939860
 94 ,  72 ,  Hf ,  -53859      , 165.942180
 93 ,  73 ,  Ta ,  -46098      , 165.950510
 92 ,  74 ,  W  ,  -41887      , 165.955032
 91 ,  75 ,  Re ,  -31840      , 165.965820
 90 ,  76 ,  Os ,  -25432      , 165.972698
103 ,  64 ,  Gd ,  -50776      , 166.945490
102 ,  65 ,  Tb ,  -55883.1    , 166.9400071
101 ,  66 ,  Dy ,  -59911      , 166.935682
100 ,  67 ,  Ho ,  -62279      , 166.933140
 99 ,  68 ,  Er ,  -63289.26   , 166.9320563
 98 ,  69 ,  Tm ,  -62543.1    , 166.9328574
 97 ,  70 ,  Yb ,  -60590      , 166.934954
 96 ,  71 ,  Lu ,  -57530      , 166.938240
 95 ,  72 ,  Hf ,  -53468      , 166.942600
 94 ,  73 ,  Ta ,  -48351      , 166.948090
 93 ,  74 ,  W  ,  -42093      , 166.954811
 91 ,  76 ,  Os ,  -26500      , 166.971550
 90 ,  77 ,  Ir ,  -17072      , 166.981672
103 ,  65 ,  Tb ,  -52781      , 167.943337
102 ,  66 ,  Dy ,  -58560      , 167.937130
101 ,  67 ,  Ho ,  -60060      , 167.935520
100 ,  68 ,  Er ,  -62989.23   , 167.93237828
 99 ,  69 ,  Tm ,  -61312.4    , 167.9341788
 98 ,  70 ,  Yb ,  -61579.87   , 167.93389110
 97 ,  71 ,  Lu ,  -57070      , 167.938730
 96 ,  72 ,  Hf ,  -55361      , 167.940570
 95 ,  73 ,  Ta ,  -48394      , 167.948050
 94 ,  74 ,  W  ,  -44893      , 167.951805
 93 ,  75 ,  Re ,  -35790      , 167.961570
 92 ,  76 ,  Os ,  -29995      , 167.967799
 91 ,  77 ,  Ir ,  -18670      , 167.979960
 90 ,  78 ,  Pt ,  -11010      , 167.988180
103 ,  66 ,  Dy ,  -55600      , 168.940320
102 ,  67 ,  Ho ,  -58796      , 168.936880
101 ,  68 ,  Er ,  -60921.2    , 168.9345983
100 ,  69 ,  Tm ,  -61274.7    , 168.9342198
 99 ,  70 ,  Yb ,  -60375.53   , 168.93518419
 98 ,  71 ,  Lu ,  -58083      , 168.937646
 97 ,  72 ,  Hf ,  -54717      , 168.941260
 96 ,  73 ,  Ta ,  -50290      , 168.946010
 95 ,  74 ,  W  ,  -44918      , 168.951779
 94 ,  75 ,  Re ,  -38409      , 168.958766
 93 ,  76 ,  Os ,  -30723      , 168.967018
 92 ,  77 ,  Ir ,  -22093      , 168.976282
103 ,  67 ,  Ho ,  -56240      , 169.939630
102 ,  68 ,  Er ,  -60107.5    , 169.9354715
101 ,  69 ,  Tm ,  -59795.3    , 169.9358078
100 ,  70 ,  Yb ,  -60763.929  , 169.934767011
 99 ,  71 ,  Lu ,  -57306      , 169.938479
 98 ,  72 ,  Hf ,  -56254      , 169.939610
 97 ,  73 ,  Ta ,  -50138      , 169.946180
 96 ,  74 ,  W  ,  -47291      , 169.949231
 95 ,  75 ,  Re ,  -38904      , 169.958235
 94 ,  76 ,  Os ,  -33926      , 169.963579
 92 ,  78 ,  Pt ,  -16299      , 169.982502
104 ,  67 ,  Ho ,  -54520      , 170.941470
103 ,  68 ,  Er ,  -57717.8    , 170.9380375
102 ,  69 ,  Tm ,  -59210.3    , 170.9364350
101 ,  70 ,  Yb ,  -59306.818  , 170.936331014
100 ,  71 ,  Lu ,  -57828.5    , 170.9379180
 99 ,  72 ,  Hf ,  -55431      , 170.940490
 98 ,  73 ,  Ta ,  -51720      , 170.944480
 97 ,  74 ,  W  ,  -47086      , 170.949450
 96 ,  75 ,  Re ,  -41250      , 170.955720
 95 ,  76 ,  Os ,  -34297      , 170.963180
 94 ,  77 ,  Ir ,  -26410      , 170.971650
 93 ,  78 ,  Pt ,  -17470      , 170.981250
 92 ,  79 ,  Au ,   -7562      , 170.991882
104 ,  68 ,  Er ,  -56483      , 171.939363
103 ,  69 ,  Tm ,  -57374      , 171.938407
102 ,  70 ,  Yb ,  -59255.456  , 171.936386015
101 ,  71 ,  Lu ,  -56736.1    , 171.9390915
100 ,  72 ,  Hf ,  -56402      , 171.939450
 99 ,  73 ,  Ta ,  -51330      , 171.944900
 98 ,  74 ,  W  ,  -49097      , 171.947290
 97 ,  75 ,  Re ,  -41570      , 171.955380
 96 ,  76 ,  Os ,  -37244      , 171.960017
 95 ,  77 ,  Ir ,  -27380      , 171.970610
 94 ,  78 ,  Pt ,  -21107      , 171.977341
 93 ,  79 ,  Au ,   -9320      , 171.990000
 92 ,  80 ,  Hg ,   -1060      , 171.998860
104 ,  69 ,  Tm ,  -56256      , 172.939607
103 ,  70 ,  Yb ,  -57551.234  , 172.938216012
102 ,  71 ,  Lu ,  -56881.0    , 172.9389357
101 ,  72 ,  Hf ,  -55412      , 172.940510
100 ,  73 ,  Ta ,  -52397      , 172.943750
 99 ,  74 ,  W  ,  -48727      , 172.947690
 98 ,  75 ,  Re ,  -43554      , 172.953240
 97 ,  76 ,  Os ,  -37438      , 172.959808
 96 ,  77 ,  Ir ,  -30268      , 172.967505
 95 ,  78 ,  Pt ,  -21940      , 172.976450
 94 ,  79 ,  Au ,  -12832      , 172.986224
105 ,  69 ,  Tm ,  -53860      , 173.942170
104 ,  70 ,  Yb ,  -56944.521  , 173.938867012
103 ,  71 ,  Lu ,  -55570.3    , 173.9403427
102 ,  72 ,  Hf ,  -55844.6    , 173.9400484
101 ,  73 ,  Ta ,  -51741      , 173.944450
100 ,  74 ,  W  ,  -50227      , 173.946080
 99 ,  75 ,  Re ,  -43673      , 173.953120
 98 ,  76 ,  Os ,  -39995      , 173.957063
 97 ,  77 ,  Ir ,  -30786      , 173.966950
 96 ,  78 ,  Pt ,  -25318      , 173.972820
 94 ,  80 ,  Hg ,   -6641      , 173.992871
106 ,  69 ,  Tm ,  -52310      , 174.943840
105 ,  70 ,  Yb ,  -54695.56   , 174.94128108
104 ,  71 ,  Lu ,  -55165.7    , 174.9407773
103 ,  72 ,  Hf ,  -54481.8    , 174.9415115
102 ,  73 ,  Ta ,  -52409      , 174.943740
101 ,  74 ,  W  ,  -49633      , 174.946720
100 ,  75 ,  Re ,  -45288      , 174.951380
 99 ,  76 ,  Os ,  -40105      , 174.956945
 98 ,  77 ,  Ir ,  -33395      , 174.964150
 97 ,  78 ,  Pt ,  -25709      , 174.972401
 96 ,  79 ,  Au ,  -17400      , 174.981320
 95 ,  80 ,  Hg ,   -7970      , 174.991440
107 ,  69 ,  Tm ,  -49370      , 175.947000
106 ,  70 ,  Yb ,  -53491.322  , 175.942574016
105 ,  71 ,  Lu ,  -53382.3    , 175.9426913
104 ,  72 ,  Hf ,  -54576.4    , 175.9414096
103 ,  73 ,  Ta ,  -51370      , 175.944860
102 ,  74 ,  W  ,  -50642      , 175.945630
101 ,  75 ,  Re ,  -45063      , 175.951620
100 ,  76 ,  Os ,  -42131      , 175.954770
 99 ,  77 ,  Ir ,  -33882      , 175.963626
 98 ,  78 ,  Pt ,  -28934      , 175.968938
 97 ,  79 ,  Au ,  -18520      , 175.980120
 96 ,  80 ,  Hg ,  -11785      , 175.987349
 95 ,  81 ,  Tl ,     580      , 176.000630
107 ,  70 ,  Yb ,  -50986.40   , 176.94526324
106 ,  71 ,  Lu ,  -52383.9    , 176.9437633
105 ,  72 ,  Hf ,  -52880.7    , 176.9432305
104 ,  73 ,  Ta ,  -51715      , 176.944482
103 ,  74 ,  W  ,  -49702      , 176.946640
102 ,  75 ,  Re ,  -46269      , 176.950330
101 ,  76 ,  Os ,  -41956      , 176.954958
100 ,  77 ,  Ir ,  -36047      , 176.961302
 99 ,  78 ,  Pt ,  -29370      , 176.968470
 98 ,  79 ,  Au ,  -21546      , 176.976870
 97 ,  80 ,  Hg ,  -12780      , 176.986280
 96 ,  81 ,  Tl ,   -3340      , 176.996414
108 ,  70 ,  Yb ,  -49677      , 177.946669
107 ,  71 ,  Lu ,  -50337.9    , 177.9459604
106 ,  72 ,  Hf ,  -52435.4    , 177.9437085
104 ,  74 ,  W  ,  -50407      , 177.945886
103 ,  75 ,  Re ,  -45653      , 177.950990
102 ,  76 ,  Os ,  -43544      , 177.953253
101 ,  77 ,  Ir ,  -36254      , 177.961079
100 ,  78 ,  Pt ,  -31997      , 177.965649
 99 ,  79 ,  Au ,  -22303      , 177.976057
 98 ,  80 ,  Hg ,  -16315      , 177.982485
 96 ,  82 ,  Pb ,    3573      , 178.003836
108 ,  71 ,  Lu ,  -49059      , 178.947333
107 ,  72 ,  Hf ,  -50463.0    , 178.9458255
106 ,  73 ,  Ta ,  -50357.5    , 178.9459396
105 ,  74 ,  W  ,  -49295      , 178.947079
104 ,  75 ,  Re ,  -46584      , 178.949990
103 ,  76 ,  Os ,  -43020      , 178.953816
102 ,  77 ,  Ir ,  -38082      , 178.959118
101 ,  78 ,  Pt ,  -32268      , 178.965359
100 ,  79 ,  Au ,  -24989      , 178.973174
 99 ,  80 ,  Hg ,  -16933      , 178.981820
 98 ,  81 ,  Tl ,   -8270      , 178.991120
 97 ,  82 ,  Pb ,    2050      , 179.002200
109 ,  71 ,  Lu ,  -46680      , 179.949890
108 ,  72 ,  Hf ,  -49779.5    , 179.9465595
107 ,  73 ,  Ta ,  -48933.6    , 179.9474672
106 ,  74 ,  W  ,  -49636.2    , 179.9467135
105 ,  75 ,  Re ,  -45837      , 179.950792
104 ,  76 ,  Os ,  -44356      , 179.952382
103 ,  77 ,  Ir ,  -37978      , 179.959229
102 ,  78 ,  Pt ,  -34430      , 179.963038
101 ,  79 ,  Au ,  -25626      , 179.972490
100 ,  80 ,  Hg ,  -20251      , 179.978260
 99 ,  81 ,  Tl ,   -9390      , 179.989920
 98 ,  82 ,  Pb ,   -1941      , 179.997916
110 ,  71 ,  Lu ,  -44800      , 180.951910
109 ,  72 ,  Hf ,  -47403.0    , 180.9491105
108 ,  73 ,  Ta ,  -48439.1    , 180.9479987
107 ,  74 ,  W  ,  -48233.9    , 180.9482186
106 ,  75 ,  Re ,  -46517      , 180.950062
105 ,  76 ,  Os ,  -43550      , 180.953247
104 ,  77 ,  Ir ,  -39463      , 180.957635
103 ,  78 ,  Pt ,  -34381      , 180.963090
102 ,  79 ,  Au ,  -27871      , 180.970079
101 ,  80 ,  Hg ,  -20661      , 180.977819
100 ,  81 ,  Tl ,  -12799      , 180.986260
 99 ,  82 ,  Pb ,   -3110      , 180.996660
110 ,  72 ,  Hf ,  -46050      , 181.950564
109 ,  73 ,  Ta ,  -46430.7    , 181.9501547
108 ,  74 ,  W  ,  -48246.1    , 181.9482058
107 ,  75 ,  Re ,  -45450      , 181.951210
106 ,  76 ,  Os ,  -44609      , 181.952110
105 ,  77 ,  Ir ,  -39052      , 181.958076
104 ,  78 ,  Pt ,  -36168      , 181.961172
103 ,  79 ,  Au ,  -28304      , 181.969614
102 ,  80 ,  Hg ,  -23577      , 181.974689
101 ,  81 ,  Tl ,  -13327      , 181.985693
100 ,  82 ,  Pb ,   -6825      , 181.992674
112 ,  71 ,  Lu ,  -39720      , 182.957360
111 ,  72 ,  Hf ,  -43280      , 182.953530
110 ,  73 ,  Ta ,  -45293.5    , 182.9513757
109 ,  74 ,  W  ,  -46365.7    , 182.9502248
108 ,  75 ,  Re ,  -45810      , 182.950821
107 ,  76 ,  Os ,  -43660      , 182.953130
106 ,  77 ,  Ir ,  -40202      , 182.956841
105 ,  78 ,  Pt ,  -35773      , 182.961596
104 ,  79 ,  Au ,  -30191      , 182.967588
103 ,  80 ,  Hg ,  -23805      , 182.974445
102 ,  81 ,  Tl ,  -16587      , 182.982193
101 ,  82 ,  Pb ,   -7580      , 182.991860
112 ,  72 ,  Hf ,  -41500      , 183.955450
111 ,  73 ,  Ta ,  -42839      , 183.954010
110 ,  74 ,  W  ,  -45705.5    , 183.9509338
109 ,  75 ,  Re ,  -44220      , 183.952528
108 ,  76 ,  Os ,  -44252.6    , 183.9524929
